SECTOR,NOMBRE_SECTOR,SUBSECTOR,NOMBRE_SUBSECTOR,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
51,Información en medios masivos,519,"Bibliotecas, archivos, portales de búsqueda en la red y otros servicios de suministro de información",379,1919,378.57%,147.43%,1.67,0.22,6.11,20.98,574.28
55,Dirección y administración de grupos empresariales o corporativos,551,Dirección y administración de grupos empresariales o corporativos,339,124595,614.89%,321.04%,1.12,0.07,6.81,4984.51,488901.58
31-33,Industrias manufactureras,324,Fabricación de productos derivados del petróleo y del carbón,318,44927,394.28%,37.45%,1.62,1.2,5.19,18139.9,78658.5
48-49,"Transportes, correos y almacenamiento",483,Transporte por agua,267,6631,-21.36%,-8.18%,10.17,32.6,-34.78,4461.14,-4758.5
43,Comercio al por mayor,437,Intermediación de comercio al por mayor,190,5089,199.27%,78.87%,2.67,0.64,4.69,120.32,879.17
21,Minería,213,Servicios relacionados con la minería,158,20957,442.07%,46.06%,1.48,1.24,5.28,3058.64,13035.95
51,Información en medios masivos,518,"Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",144,13372,196.88%,153.22%,2.69,0.07,5.23,73.58,5293.04
48-49,"Transportes, correos y almacenamiento",481,Transporte aéreo,113,37216,206.92%,129.82%,2.61,0.24,5.15,1697.3,36107.37
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,533,"Servicios de alquiler de marcas registradas, patentes y franquicias",54,721,955.51%,138.77%,0.76,0.32,6.92,41.85,906.02
48-49,"Transportes, correos y almacenamiento",486,Transporte por ductos,51,5057,947.02%,9.06%,0.76,3.44,3.8,10214.55,11288.34
21,Minería,211,Extracción de petróleo y gas,34,35163,3903.7%,102.16%,0.2,0.98,6.82,113284.82,789393.88
48-49,"Transportes, correos y almacenamiento",491,Servicios postales,32,,,,,,,,
48-49,"Transportes, correos y almacenamiento",482,Transporte por ferrocarril,10,,,,,,,,
52,Servicios financieros y de seguros,521,Banca central,1,3950,7547.41%,2239.11%,0.1,0.03,7.86,1006.15,232002.52
