SECTOR,NOMBRE_SECTOR,SUBSECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
61,Servicios educativos,611,6116,Otros servicios educativos,23146,82937,90.56%,31.3%,4.2,0.5,3.3,750.97,4922.22
43,Comercio al por mayor,431,4311,Comercio al por mayor de abarrotes y alimentos,22387,526764,419.16%,140.05%,1.54,0.31,6.15,16214.35,325233.04
43,Comercio al por mayor,434,4341,Comercio al por mayor de materias primas agropecuarias y forestales,22219,83679,637.4%,104.98%,1.08,0.51,6.41,3757.12,47350.73
61,Servicios educativos,611,6111,"Escuelas de educación básica, media y para necesidades especiales",21309,415246,69.96%,29.85%,4.71,0.35,2.94,3921.76,32883.86
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",114,1141,Pesca,20152,189091,247.79%,45.15%,2.3,1.1,4.6,3686.41,15381.28
31-33,Industrias manufactureras,323,3231,Impresión e industrias conexas,20075,130048,174.67%,42.73%,2.91,0.55,4.54,3078.4,25296.13
81,Otros servicios excepto actividades gubernamentales,811,8113,"Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios",19912,101779,208.19%,64.19%,2.6,0.51,4.89,1721.78,16547.47
31-33,Industrias manufactureras,327,3271,Fabricación de productos a base de arcillas y minerales refractarios,19725,87490,160.23%,35.08%,3.07,0.49,4.44,1658.18,15152.3
62,Servicios de salud y de asistencia social,624,6241,Servicios de orientación y trabajo social,18774,75667,99.37%,18.6%,4.01,0.88,3.11,134.48,474.76
43,Comercio al por mayor,434,4343,Comercio al por mayor de materiales de desecho,18489,78768,301.59%,56.11%,1.99,0.69,5.32,2109.9,16379.59
81,Otros servicios excepto actividades gubernamentales,812,8124,Estacionamientos y pensiones para vehículos automotores,18184,45723,201.05%,28.59%,2.66,0.75,4.59,751.57,4586.78
62,Servicios de salud y de asistencia social,621,6215,Laboratorios médicos y de diagnóstico,18142,87301,182.7%,56.41%,2.83,0.51,4.66,1918.72,17370.41
31-33,Industrias manufactureras,311,3115,Elaboración de productos lácteos,18029,116288,448.99%,117.23%,1.46,0.26,6.28,3077.23,73861.25
31-33,Industrias manufactureras,339,3399,Otras industrias manufactureras,18025,124077,143.74%,49.99%,3.28,0.37,4.35,2024,23872.17
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,532,5322,Alquiler de artículos para el hogar y personales,16527,42311,253.91%,36.2%,2.26,1.17,4.57,777.97,3041.25
54,"Servicios profesionales, científicos y técnicos",541,5412,"Servicios de contabilidad, auditoría y servicios relacionados",16391,99830,196.4%,91.57%,2.7,0.33,4.97,1070.89,16252.77
31-33,Industrias manufactureras,313,3131,"Preparación e hilado de fibras textiles, y fabricación de hilos",15592,39371,232.6%,48.66%,2.41,0.54,5.06,603.3,5652.1
52,Servicios financieros y de seguros,522,5224,Otras instituciones de intermediación crediticia y financiera no bursátil,13602,87992,496.29%,205.17%,1.34,0.22,6.44,3077.56,89321.79
81,Otros servicios excepto actividades gubernamentales,813,8132,"Asociaciones y organizaciones religiosas, políticas y civiles",13173,70998,140.89%,26.98%,3.32,0.76,3.92,687.43,3558.91
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",713,7131,Parques con instalaciones recreativas y casas de juegos electrónicos,10500,36657,121.32%,36.47%,3.61,0.53,3.86,684.97,5023.89
81,Otros servicios excepto actividades gubernamentales,813,8131,"Asociaciones y organizaciones comerciales, laborales, profesionales y recreativas",10382,61713,151.09%,36.85%,3.19,0.6,4.21,608.62,4269.25
46,Comercio al por menor,468,4683,Comercio al por menor de motocicletas y otros vehículos de motor,10160,34040,539.76%,177.86%,1.25,0.2,6.55,426.71,14185.25
43,Comercio al por mayor,435,4353,Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,9551,108055,405.39%,103.91%,1.58,0.37,6.04,4169.2,67327.09
31-33,Industrias manufactureras,316,3162,Fabricación de calzado,9123,117425,104.88%,47.18%,3.9,0.31,3.79,998.56,12290.94
31-33,Industrias manufactureras,332,3327,Maquinado de piezas y fabricación de tornillos,9109,76443,125.87%,10.71%,3.54,1.48,2.98,4839.14,9778.91
81,Otros servicios excepto actividades gubernamentales,812,8123,Servicios funerarios y administración de cementerios,8662,41085,174.43%,48.85%,2.92,0.64,4.45,695.3,4842.35
31-33,Industrias manufactureras,311,3119,Otras industrias alimentarias,8653,109513,609.88%,146.31%,1.13,0.22,6.65,3763.08,114709.69
54,"Servicios profesionales, científicos y técnicos",541,5413,"Servicios de arquitectura, ingeniería y actividades relacionadas",8219,94655,237.19%,114.21%,2.37,0.28,5.34,1137.19,21341.84
46,Comercio al por menor,468,4681,Comercio al por menor de automóviles y camionetas,8174,150135,592.52%,198.89%,1.16,0.17,6.68,3376.24,136095.82
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,5615,Agencias de viajes y servicios de reservaciones,8162,40935,399.03%,37.75%,1.6,0.65,5.75,1954.3,17245.96
31-33,Industrias manufactureras,322,3222,Fabricación de productos de cartón y papel,7966,139682,195.34%,50.88%,2.71,0.42,4.87,4393.71,51071.1
43,Comercio al por mayor,435,4354,"Comercio al por mayor de mobiliario y equipo de cómputo y de oficina, y de otra maquinaria y equipo de uso general",7916,102957,411.05%,75.27%,1.57,0.46,5.97,4817.67,62127.79
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,531,5312,Inmobiliarias y corredores de bienes raíces,7672,54173,735.39%,67.0%,0.96,0.57,6.47,2838.77,32103.18
81,Otros servicios excepto actividades gubernamentales,812,8129,Servicios de revelado e impresión de fotografías y otros servicios personales,7636,16440,247.55%,58.99%,2.3,0.57,5.13,144.95,1312.39
31-33,Industrias manufactureras,327,3273,"Fabricación de cemento, concreto y sus productos",7321,65790,453.46%,61.72%,1.45,0.59,5.96,4965.37,49882.13
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,532,5324,"Alquiler de maquinaria y equipo agropecuario, pesquero, industrial, comercial y de servicios",6790,46733,319.22%,35.11%,1.91,1.18,4.91,3102.63,12945.98
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,531,5313,Servicios relacionados con los servicios inmobiliarios,6567,50005,329.43%,54.1%,1.86,0.63,5.51,1667.64,14644.04
54,"Servicios profesionales, científicos y técnicos",541,5414,Diseño especializado,6535,23524,234.74%,77.91%,2.39,0.49,5.12,335.36,3531.47
54,"Servicios profesionales, científicos y técnicos",541,5416,"Servicios de consultoría administrativa, científica y técnica",6395,97553,205.63%,137.55%,2.62,0.15,5.23,635.03,22127.78
31-33,Industrias manufactureras,326,3261,Fabricación de productos de plástico,6074,380020,183.65%,48.56%,2.82,0.47,4.71,12811.45,129848.37
54,"Servicios profesionales, científicos y técnicos",541,5418,Servicios de publicidad y actividades relacionadas,5939,54028,213.46%,118.56%,2.55,0.21,5.23,405.04,9918.6
43,Comercio al por mayor,432,4321,Comercio al por mayor de productos textiles y calzado,5896,47586,450.45%,165.65%,1.45,0.21,6.34,717.97,22023.61
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",713,7132,"Casinos, loterías y otros juegos de azar",5228,34342,591.76%,107.07%,1.16,0.26,6.58,945.48,23682.47
31-33,Industrias manufactureras,311,3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",5199,132735,410.4%,105.01%,1.57,0.2,6.23,2866.59,88684.34
62,Servicios de salud y de asistencia social,624,6244,Guarderías,5139,52624,76.14%,34.8%,4.54,0.33,3.13,313.11,3005.45
31-33,Industrias manufactureras,327,3279,Fabricación de otros productos a base de minerales no metálicos,5079,25651,158.77%,43.39%,3.09,0.51,4.4,623.37,5422.63
